epoch,train_accuracy,valid_accuracy,train_loss,valid_loss
0,0.4581611570247934,0.4468,1.7138533464173222,1.4996944536828691
1,0.5568181818181818,0.5623,1.3454343875503296,1.2126026335795215
2,0.612603305785124,0.6194,1.1413484298817032,1.0602108031321482
3,0.6528925619834711,0.6542,1.0029908648079924,0.9590416098855863
4,0.6921487603305785,0.6601,0.9140056751268294,0.9481962296613462
5,0.7169421487603306,0.7073,0.8344055290722177,0.8265030871910654
6,0.7348760330578512,0.714,0.7781270605600094,0.8077132487372988
7,0.7567148760330579,0.7362,0.7278827104498359,0.7529457754390255
8,0.7729132231404959,0.7538,0.677698666634767,0.7036906997109674
9,0.8078925619834711,0.7587,0.6364107775642439,0.6926777581120752
10,0.8184090909090909,0.7594,0.5956320446318067,0.7035311720553478
11,0.8390702479338843,0.7778,0.5620381051240979,0.6413035573093755
12,0.8497314049586777,0.779,0.5266655595863566,0.6378844163979694
13,0.8588429752066116,0.7855,0.4949490969900585,0.6353601002769106
14,0.8657438016528925,0.8017,0.4651055668321107,0.5820018540901742
15,0.8729752066115702,0.8007,0.43537452092865847,0.5803482864692713
16,0.8815702479338843,0.8082,0.4094378998707932,0.5701493923641314
17,0.9039669421487604,0.8225,0.3887234045111615,0.5281724104076434
18,0.911322314049587,0.818,0.3655606673082427,0.5605055862551283
19,0.9339669421487604,0.8121,0.34339947670774384,0.575777400071454
